State,Region,Product,ds,y
Louisiana,Acadiana,Term Life,1998-01-01,135.08
Louisiana,Acadiana,Term Life,1998-04-01,109.99
Louisiana,Acadiana,Term Life,1998-07-01,166.03
Louisiana,Acadiana,Term Life,1998-10-01,127.16
Louisiana,Acadiana,Term Life,1999-01-01,137.45
Louisiana,Acadiana,Term Life,1999-04-01,199.91
Louisiana,Acadiana,Term Life,1999-07-01,169.36
Louisiana,Acadiana,Term Life,1999-10-01,134.36
Louisiana,Acadiana,Term Life,2000-01-01,154.03
Louisiana,Acadiana,Term Life,2000-04-01,168.78
Louisiana,Acadiana,Term Life,2000-07-01,223.07
Louisiana,Acadiana,Term Life,2000-10-01,241.22
Louisiana,Acadiana,Term Life,2001-01-01,132.5
Louisiana,Acadiana,Term Life,2001-04-01,178.4
Louisiana,Acadiana,Term Life,2001-07-01,196.0
Louisiana,Acadiana,Term Life,2001-10-01,101.17
Louisiana,Acadiana,Term Life,2002-01-01,237.83
Louisiana,Acadiana,Term Life,2002-04-01,150.73
Louisiana,Acadiana,Term Life,2002-07-01,167.71
Louisiana,Acadiana,Term Life,2002-10-01,140.34
Louisiana,Acadiana,Term Life,2003-01-01,139.45
Louisiana,Acadiana,Term Life,2003-04-01,159.66
Louisiana,Acadiana,Term Life,2003-07-01,232.11
Louisiana,Acadiana,Term Life,2003-10-01,158.6
Louisiana,Acadiana,Term Life,2004-01-01,138.47
Louisiana,Acadiana,Term Life,2004-04-01,229.71
Louisiana,Acadiana,Term Life,2004-07-01,242.49
Louisiana,Acadiana,Term Life,2004-10-01,123.06
Louisiana,Acadiana,Term Life,2005-01-01,128.0
Louisiana,Acadiana,Term Life,2005-04-01,73.25
Louisiana,Acadiana,Term Life,2005-07-01,166.72
Louisiana,Acadiana,Term Life,2005-10-01,122.3
Louisiana,Acadiana,Term Life,2006-01-01,127.25
Louisiana,Acadiana,Term Life,2006-04-01,176.08
Louisiana,Acadiana,Term Life,2006-07-01,157.86
Louisiana,Acadiana,Term Life,2006-10-01,106.68
Louisiana,Acadiana,Term Life,2007-01-01,134.37
Louisiana,Acadiana,Term Life,2007-04-01,168.59
Louisiana,Acadiana,Term Life,2007-07-01,146.1
Louisiana,Acadiana,Term Life,2007-10-01,134.57
Louisiana,Acadiana,Term Life,2008-01-01,127.17
Louisiana,Acadiana,Term Life,2008-04-01,151.97
Louisiana,Acadiana,Term Life,2008-07-01,152.21
Louisiana,Acadiana,Term Life,2008-10-01,160.64
Louisiana,Acadiana,Term Life,2009-01-01,113.86
Louisiana,Acadiana,Term Life,2009-04-01,152.72
Louisiana,Acadiana,Term Life,2009-07-01,121.98
Louisiana,Acadiana,Term Life,2009-10-01,191.15
Louisiana,Acadiana,Term Life,2010-01-01,68.73
Louisiana,Acadiana,Term Life,2010-04-01,182.18
Louisiana,Acadiana,Term Life,2010-07-01,120.53
Louisiana,Acadiana,Term Life,2010-10-01,155.07
Louisiana,Acadiana,Term Life,2011-01-01,109.7
Louisiana,Acadiana,Term Life,2011-04-01,148.44
Louisiana,Acadiana,Term Life,2011-07-01,140.66
Louisiana,Acadiana,Term Life,2011-10-01,148.82
Louisiana,Acadiana,Term Life,2012-01-01,126.86
Louisiana,Acadiana,Term Life,2012-04-01,154.92
Louisiana,Acadiana,Term Life,2012-07-01,150.02
Louisiana,Acadiana,Term Life,2012-10-01,178.36
Louisiana,Acadiana,Term Life,2013-01-01,101.65
Louisiana,Acadiana,Term Life,2013-04-01,100.64
Louisiana,Acadiana,Term Life,2013-07-01,179.87
Louisiana,Acadiana,Term Life,2013-10-01,142.81
Louisiana,Acadiana,Term Life,2014-01-01,138.83
Louisiana,Acadiana,Term Life,2014-04-01,154.51
Louisiana,Acadiana,Term Life,2014-07-01,185.6
Louisiana,Acadiana,Term Life,2014-10-01,168.35
Louisiana,Acadiana,Term Life,2015-01-01,142.79
Louisiana,Acadiana,Term Life,2015-04-01,167.92
Louisiana,Acadiana,Term Life,2015-07-01,176.46
Louisiana,Acadiana,Term Life,2015-10-01,186.73
Louisiana,Acadiana,Term Life,2016-01-01,182.1
Louisiana,Acadiana,Term Life,2016-04-01,187.81
Louisiana,Acadiana,Term Life,2016-07-01,195.98
Louisiana,Acadiana,Term Life,2016-10-01,152.43
Louisiana,Acadiana,Term Life,2017-01-01,129.03
Louisiana,Acadiana,Term Life,2017-04-01,173.74
Louisiana,Acadiana,Term Life,2017-07-01,185.3
Louisiana,Acadiana,Term Life,2017-10-01,197.28
Louisiana,Acadiana,Whole Life,1998-01-01,223.56
Louisiana,Acadiana,Whole Life,1998-04-01,130.29
Louisiana,Acadiana,Whole Life,1998-07-01,156.09
Louisiana,Acadiana,Whole Life,1998-10-01,182.33
Louisiana,Acadiana,Whole Life,1999-01-01,185.33
Louisiana,Acadiana,Whole Life,1999-04-01,134.67
Louisiana,Acadiana,Whole Life,1999-07-01,136.03
Louisiana,Acadiana,Whole Life,1999-10-01,168.69
Louisiana,Acadiana,Whole Life,2000-01-01,184.12
Louisiana,Acadiana,Whole Life,2000-04-01,134.36
Louisiana,Acadiana,Whole Life,2000-07-01,145.36
Louisiana,Acadiana,Whole Life,2000-10-01,150.51
Louisiana,Acadiana,Whole Life,2001-01-01,160.23
Louisiana,Acadiana,Whole Life,2001-04-01,133.13
Louisiana,Acadiana,Whole Life,2001-07-01,153.77
Louisiana,Acadiana,Whole Life,2001-10-01,181.41
Louisiana,Acadiana,Whole Life,2002-01-01,169.05
Louisiana,Acadiana,Whole Life,2002-04-01,114.21
Louisiana,Acadiana,Whole Life,2002-07-01,130.33
Louisiana,Acadiana,Whole Life,2002-10-01,130.48
Louisiana,Acadiana,Whole Life,2003-01-01,146.77
Louisiana,Acadiana,Whole Life,2003-04-01,126.76
Louisiana,Acadiana,Whole Life,2003-07-01,149.44
Louisiana,Acadiana,Whole Life,2003-10-01,111.05
Louisiana,Acadiana,Whole Life,2004-01-01,186.77
Louisiana,Acadiana,Whole Life,2004-04-01,135.91
Louisiana,Acadiana,Whole Life,2004-07-01,112.99
Louisiana,Acadiana,Whole Life,2004-10-01,158.06
Louisiana,Acadiana,Whole Life,2005-01-01,141.63
Louisiana,Acadiana,Whole Life,2005-04-01,120.13
Louisiana,Acadiana,Whole Life,2005-07-01,160.77
Louisiana,Acadiana,Whole Life,2005-10-01,149.08
Louisiana,Acadiana,Whole Life,2006-01-01,191.53
Louisiana,Acadiana,Whole Life,2006-04-01,163.65
Louisiana,Acadiana,Whole Life,2006-07-01,138.13
Louisiana,Acadiana,Whole Life,2006-10-01,164.85
Louisiana,Acadiana,Whole Life,2007-01-01,185.55
Louisiana,Acadiana,Whole Life,2007-04-01,180.68
Louisiana,Acadiana,Whole Life,2007-07-01,134.5
Louisiana,Acadiana,Whole Life,2007-10-01,155.6
Louisiana,Acadiana,Whole Life,2008-01-01,181.78
Louisiana,Acadiana,Whole Life,2008-04-01,147.54
Louisiana,Acadiana,Whole Life,2008-07-01,129.51
Louisiana,Acadiana,Whole Life,2008-10-01,152.06
Louisiana,Acadiana,Whole Life,2009-01-01,147.95
Louisiana,Acadiana,Whole Life,2009-04-01,150.95
Louisiana,Acadiana,Whole Life,2009-07-01,157.7
Louisiana,Acadiana,Whole Life,2009-10-01,167.02
Louisiana,Acadiana,Whole Life,2010-01-01,190.02
Louisiana,Acadiana,Whole Life,2010-04-01,134.44
Louisiana,Acadiana,Whole Life,2010-07-01,108.03
Louisiana,Acadiana,Whole Life,2010-10-01,159.55
Louisiana,Acadiana,Whole Life,2011-01-01,169.86
Louisiana,Acadiana,Whole Life,2011-04-01,174.77
Louisiana,Acadiana,Whole Life,2011-07-01,109.48
Louisiana,Acadiana,Whole Life,2011-10-01,165.6
Louisiana,Acadiana,Whole Life,2012-01-01,169.71
Louisiana,Acadiana,Whole Life,2012-04-01,124.66
Louisiana,Acadiana,Whole Life,2012-07-01,148.67
Louisiana,Acadiana,Whole Life,2012-10-01,153.74
Louisiana,Acadiana,Whole Life,2013-01-01,171.03
Louisiana,Acadiana,Whole Life,2013-04-01,127.99
Louisiana,Acadiana,Whole Life,2013-07-01,131.0
Louisiana,Acadiana,Whole Life,2013-10-01,118.02
Louisiana,Acadiana,Whole Life,2014-01-01,206.95
Louisiana,Acadiana,Whole Life,2014-04-01,171.42
Louisiana,Acadiana,Whole Life,2014-07-01,157.93
Louisiana,Acadiana,Whole Life,2014-10-01,142.69
Louisiana,Acadiana,Whole Life,2015-01-01,211.89
Louisiana,Acadiana,Whole Life,2015-04-01,121.58
Louisiana,Acadiana,Whole Life,2015-07-01,140.6
Louisiana,Acadiana,Whole Life,2015-10-01,188.67
Louisiana,Acadiana,Whole Life,2016-01-01,199.05
Louisiana,Acadiana,Whole Life,2016-04-01,177.14
Louisiana,Acadiana,Whole Life,2016-07-01,154.12
Louisiana,Acadiana,Whole Life,2016-10-01,147.1
Louisiana,Acadiana,Whole Life,2017-01-01,215.94
Louisiana,Acadiana,Whole Life,2017-04-01,201.73
Louisiana,Acadiana,Whole Life,2017-07-01,163.71
Louisiana,Acadiana,Whole Life,2017-10-01,214.05
Louisiana,Acadiana,Annuities,1998-01-01,58.36
Louisiana,Acadiana,Annuities,1998-04-01,39.47
Louisiana,Acadiana,Annuities,1998-07-01,38.43
Louisiana,Acadiana,Annuities,1998-10-01,33.79
Louisiana,Acadiana,Annuities,1999-01-01,25.9
Louisiana,Acadiana,Annuities,1999-04-01,54.55
Louisiana,Acadiana,Annuities,1999-07-01,28.71
Louisiana,Acadiana,Annuities,1999-10-01,44.9
Louisiana,Acadiana,Annuities,2000-01-01,56.45
Louisiana,Acadiana,Annuities,2000-04-01,80.95
Louisiana,Acadiana,Annuities,2000-07-01,40.34
Louisiana,Acadiana,Annuities,2000-10-01,47.35
Louisiana,Acadiana,Annuities,2001-01-01,36.83
Louisiana,Acadiana,Annuities,2001-04-01,65.01
Louisiana,Acadiana,Annuities,2001-07-01,54.73
Louisiana,Acadiana,Annuities,2001-10-01,56.25
Louisiana,Acadiana,Annuities,2002-01-01,41.59
Louisiana,Acadiana,Annuities,2002-04-01,36.66
Louisiana,Acadiana,Annuities,2002-07-01,50.84
Louisiana,Acadiana,Annuities,2002-10-01,43.86
Louisiana,Acadiana,Annuities,2003-01-01,40.12
Louisiana,Acadiana,Annuities,2003-04-01,64.36
Louisiana,Acadiana,Annuities,2003-07-01,44.44
Louisiana,Acadiana,Annuities,2003-10-01,43.32
Louisiana,Acadiana,Annuities,2004-01-01,42.31
Louisiana,Acadiana,Annuities,2004-04-01,56.03
Louisiana,Acadiana,Annuities,2004-07-01,59.22
Louisiana,Acadiana,Annuities,2004-10-01,57.63
Louisiana,Acadiana,Annuities,2005-01-01,49.79
Louisiana,Acadiana,Annuities,2005-04-01,49.29
Louisiana,Acadiana,Annuities,2005-07-01,31.99
Louisiana,Acadiana,Annuities,2005-10-01,55.81
Louisiana,Acadiana,Annuities,2006-01-01,50.24
Louisiana,Acadiana,Annuities,2006-04-01,55.45
Louisiana,Acadiana,Annuities,2006-07-01,54.78
Louisiana,Acadiana,Annuities,2006-10-01,41.81
Louisiana,Acadiana,Annuities,2007-01-01,41.29
Louisiana,Acadiana,Annuities,2007-04-01,49.99
Louisiana,Acadiana,Annuities,2007-07-01,55.09
Louisiana,Acadiana,Annuities,2007-10-01,51.75
Louisiana,Acadiana,Annuities,2008-01-01,43.87
Louisiana,Acadiana,Annuities,2008-04-01,37.57
Louisiana,Acadiana,Annuities,2008-07-01,46.46
Louisiana,Acadiana,Annuities,2008-10-01,44.11
Louisiana,Acadiana,Annuities,2009-01-01,52.06
Louisiana,Acadiana,Annuities,2009-04-01,52.44
Louisiana,Acadiana,Annuities,2009-07-01,56.07
Louisiana,Acadiana,Annuities,2009-10-01,41.98
Louisiana,Acadiana,Annuities,2010-01-01,43.77
Louisiana,Acadiana,Annuities,2010-04-01,55.74
Louisiana,Acadiana,Annuities,2010-07-01,53.07
Louisiana,Acadiana,Annuities,2010-10-01,55.31
Louisiana,Acadiana,Annuities,2011-01-01,70.12
Louisiana,Acadiana,Annuities,2011-04-01,56.63
Louisiana,Acadiana,Annuities,2011-07-01,61.91
Louisiana,Acadiana,Annuities,2011-10-01,57.93
Louisiana,Acadiana,Annuities,2012-01-01,58.22
Louisiana,Acadiana,Annuities,2012-04-01,88.12
Louisiana,Acadiana,Annuities,2012-07-01,66.83
Louisiana,Acadiana,Annuities,2012-10-01,42.22
Louisiana,Acadiana,Annuities,2013-01-01,52.78
Louisiana,Acadiana,Annuities,2013-04-01,52.45
Louisiana,Acadiana,Annuities,2013-07-01,79.57
Louisiana,Acadiana,Annuities,2013-10-01,101.72
Louisiana,Acadiana,Annuities,2014-01-01,71.37
Louisiana,Acadiana,Annuities,2014-04-01,82.64
Louisiana,Acadiana,Annuities,2014-07-01,46.02
Louisiana,Acadiana,Annuities,2014-10-01,87.1
Louisiana,Acadiana,Annuities,2015-01-01,78.08
Louisiana,Acadiana,Annuities,2015-04-01,107.49
Louisiana,Acadiana,Annuities,2015-07-01,51.79
Louisiana,Acadiana,Annuities,2015-10-01,45.15
Louisiana,Acadiana,Annuities,2016-01-01,61.81
Louisiana,Acadiana,Annuities,2016-04-01,80.49
Louisiana,Acadiana,Annuities,2016-07-01,81.71
Louisiana,Acadiana,Annuities,2016-10-01,83.55
Louisiana,Acadiana,Annuities,2017-01-01,93.83
Louisiana,Acadiana,Annuities,2017-04-01,82.59
Louisiana,Acadiana,Annuities,2017-07-01,96.08
Louisiana,Acadiana,Annuities,2017-10-01,74.75
Louisiana,Acadiana,Annuities,1998-01-01,241.56
Louisiana,Acadiana,Annuities,1998-04-01,170.11
Louisiana,Acadiana,Annuities,1998-07-01,232.35
Louisiana,Acadiana,Annuities,1998-10-01,180.96
Louisiana,Acadiana,Annuities,1999-01-01,199.71
Louisiana,Acadiana,Annuities,1999-04-01,179.57
Louisiana,Acadiana,Annuities,1999-07-01,203.95
Louisiana,Acadiana,Annuities,1999-10-01,214.48
Louisiana,Acadiana,Annuities,2000-01-01,251.76
Louisiana,Acadiana,Annuities,2000-04-01,178.66
Louisiana,Acadiana,Annuities,2000-07-01,147.53
Louisiana,Acadiana,Annuities,2000-10-01,213.12
Louisiana,Acadiana,Annuities,2001-01-01,239.99
Louisiana,Acadiana,Annuities,2001-04-01,155.6
Louisiana,Acadiana,Annuities,2001-07-01,162.78
Louisiana,Acadiana,Annuities,2001-10-01,256.38
Louisiana,Acadiana,Annuities,2002-01-01,198.21
Louisiana,Acadiana,Annuities,2002-04-01,250.17
Louisiana,Acadiana,Annuities,2002-07-01,223.32
Louisiana,Acadiana,Annuities,2002-10-01,189.69
Louisiana,Acadiana,Annuities,2003-01-01,230.05
Louisiana,Acadiana,Annuities,2003-04-01,173.47
Louisiana,Acadiana,Annuities,2003-07-01,175.14
Louisiana,Acadiana,Annuities,2003-10-01,208.76
Louisiana,Acadiana,Annuities,2004-01-01,265.75
Louisiana,Acadiana,Annuities,2004-04-01,213.84
Louisiana,Acadiana,Annuities,2004-07-01,183.41
Louisiana,Acadiana,Annuities,2004-10-01,231.79
Louisiana,Acadiana,Annuities,2005-01-01,261.81
Louisiana,Acadiana,Annuities,2005-04-01,176.19
Louisiana,Acadiana,Annuities,2005-07-01,165.39
Louisiana,Acadiana,Annuities,2005-10-01,182.04
Louisiana,Acadiana,Annuities,2006-01-01,218.83
Louisiana,Acadiana,Annuities,2006-04-01,194.11
Louisiana,Acadiana,Annuities,2006-07-01,163.07
Louisiana,Acadiana,Annuities,2006-10-01,220.23
Louisiana,Acadiana,Annuities,2007-01-01,246.24
Louisiana,Acadiana,Annuities,2007-04-01,220.74
